timestamp,lat,lon,speed,accelX,accelY,accelZ
1779294119869,0,0,0,0,0,0
1779294119969,0,0,0,-0.088328,0.054656,0.987468
1779294120069,0,0,0,-0.086864,0.055876,0.98942
1779294120169,0,0,0,-0.089548,0.057584,0.990396
1779294120270,0,0,0,-0.089548,0.054168,0.99064
1779294120370,0,0,0,-0.087596,0.057584,0.987468
1779294120470,0,0,0,-0.092476,0.055632,1.00333
1779294120570,0,0,0,-0.082716,0.058072,0.98576
1779294120670,0,0,0,-0.086132,0.052704,0.98576
1779294120770,0,0,0,-0.088084,0.057584,0.993568
1779294120870,0,0,0,-0.091012,0.050264,0.996252
1779294120970,0,0,0,-0.091988,0.055632,0.995276
1779294121070,0,0,0,-0.087596,0.054412,0.987224
1779294121170,0,0,0,-0.08662,0.057828,0.986248
1779294121270,0,0,0,-0.08906,0.055632,0.987468
1779294121370,0,0,0,-0.086132,0.055876,0.987712
1779294121470,0,0,0,-0.088084,0.05612,0.989908
1779294121570,0,0,0,-0.086376,0.056608,0.988444
1779294121671,0,0,0,-0.094428,0.0549,0.995276
1779294121771,0,0,0,-0.085644,0.05612,0.986736
1779294121871,0,0,0,-0.08662,0.054168,0.981612
1779294121971,0,0,0,-0.08784,0.056852,0.984784
1779294122071,0,0,0,-0.089792,0.055876,0.990152
1779294122171,0,0,0,-0.088084,0.054656,0.990884
1779294122271,0,0,0,-0.089304,0.056364,0.9882
1779294122371,0,0,0,-0.088816,0.054412,0.987956
1779294122471,0,0,0,-0.088572,0.055388,0.990152
1779294122571,0,0,0,-0.086864,0.054412,0.99064
1779294122671,0,0,0,-0.086864,0.056364,0.991372
1779294122771,0,0,0,-0.087352,0.055388,0.98576
1779294122871,0,0,0,-0.086132,0.055876,0.986492
1779294122972,0,0,0,-0.08784,0.05612,0.988932
1779294123072,0,0,0,-0.089792,0.056608,0.988932
1779294123172,0,0,0,-0.088328,0.056852,0.991372
1779294123274,0,0,0,-0.086376,0.05734,0.984296
1779294123374,0,0,0,-0.087596,0.057584,0.985516
1779294123474,0,0,0,-0.08784,0.055876,0.987224
1779294123574,0,0,0,-0.08906,0.055144,0.986492
1779294123674,0,0,0,-0.08784,0.05734,0.98576
1779294123774,0,0,0,-0.08662,0.055388,0.983808
1779294123874,0,0,0,-0.088084,0.054656,0.986736
1779294123974,0,0,0,-0.087108,0.0549,0.98576
1779294124074,0,0,0,-0.087352,0.055144,0.985272
1779294124174,0,0,0,-0.08784,0.055388,0.986004
1779294124274,0,0,0,-0.088572,0.057096,0.985028
1779294124374,0,0,0,-0.088328,0.056364,0.984784
1779294124475,0,0,0,-0.088328,0.05612,0.985272
1779294124575,0,0,0,-0.088328,0.055144,0.984052
1779294124675,0,0,0,-0.088328,0.0549,0.98332
1779294124775,53.2688,-1.26192,0.109268,-0.086864,0.0549,0.985028
1779294124875,53.2688,-1.26192,0.109268,-0.088816,0.055144,0.985028
1779294124975,53.2688,-1.26192,0.090748,-0.08784,0.0549,0.985028
1779294125075,53.2688,-1.26192,0.196312,-0.08784,0.055388,0.985516
1779294125175,53.2688,-1.26192,0.196312,-0.087352,0.056608,0.986248
1779294125275,53.2688,-1.26192,0.179644,-0.087596,0.055876,0.988688
1779294125375,53.2688,-1.26192,0.179644,-0.08662,0.055632,0.987956
1779294125475,53.2688,-1.26192,0.127788,-0.08906,0.0549,0.987468
1779294125575,53.2688,-1.26192,0.127788,-0.088084,0.056364,0.987224
1779294125675,53.2688,-1.26192,0.109268,-0.08784,0.0549,0.987956
1779294125775,53.2688,-1.26192,0.109268,-0.08784,0.05612,0.986492
1779294125875,53.2688,-1.26192,0.137048,-0.088328,0.055876,0.988444
1779294125975,53.2688,-1.26192,0.24076,-0.08784,0.056608,0.9882
1779294126075,53.2688,-1.26192,0.24076,-0.088572,0.055876,0.986492
1779294126176,53.2688,-1.26192,0.107416,-0.085888,0.056364,0.986492
1779294126276,53.2688,-1.26192,0.107416,-0.08662,0.0549,0.986492
1779294126376,53.2688,-1.26192,0.107416,-0.08784,0.055876,0.987956
1779294126476,53.2688,-1.26192,0.124084,-0.087596,0.05612,0.987468
1779294126576,53.2688,-1.26192,0.016668,-0.08784,0.0549,0.98698
1779294126676,53.2688,-1.26192,0.048152,-0.088084,0.05612,0.988444
1779294126776,53.2688,-1.26192,0.150012,-0.08662,0.055876,0.986492
1779294126876,53.2688,-1.26192,0.150012,-0.088572,0.053924,0.988932
1779294126976,53.2688,-1.26192,0.137048,-0.087108,0.056852,0.98698
1779294127076,53.2688,-1.26192,0.137048,-0.088572,0.0549,0.987956
1779294127176,53.2688,-1.26192,0.135196,-0.088084,0.05612,0.986736
1779294127276,53.2688,-1.26192,0.10186,-0.087596,0.055144,0.986736
1779294127376,53.2688,-1.26192,0.10186,-0.087352,0.055632,0.987468
1779294127476,53.2688,-1.26192,0.044448,-0.087596,0.0549,0.986736
1779294127576,53.2688,-1.26192,0.16668,-0.08662,0.055876,0.987956
1779294127677,53.2688,-1.26192,0.16668,-0.088328,0.054168,0.98942
1779294127777,53.2688,-1.26192,0.159272,-0.087352,0.055388,0.989664
1779294127877,53.2688,-1.26192,0.0926,-0.08784,0.05612,0.989176
1779294127977,53.2688,-1.26192,0.0926,-0.085888,0.055144,0.989908
1779294128077,53.2688,-1.26192,0.0926,-0.088084,0.056608,0.987712
1779294128177,53.2688,-1.26192,0.0463,-0.088572,0.053924,0.990152
1779294128277,53.2688,-1.26192,0.233352,-0.087108,0.05612,0.989908
1779294128377,53.2688,-1.26192,0.233352,-0.086864,0.055632,0.99064
1779294128477,53.2688,-1.26192,0.122232,-0.088816,0.055388,0.991372
1779294128577,53.2688,-1.26192,0.122232,-0.088084,0.055388,0.989908
1779294128677,53.2688,-1.26192,0.17594,-0.088084,0.056608,0.990396
1779294128777,53.2688,-1.26192,0.17594,-0.087352,0.054656,0.989664
1779294128877,53.2688,-1.26192,0.040744,-0.088084,0.055876,0.990152
1779294128977,53.2688,-1.26192,0.040744,-0.087352,0.055144,0.989176
1779294129077,53.2688,-1.26192,0.040744,-0.08784,0.055144,0.991128
1779294129178,53.2688,-1.26192,0.098156,-0.086864,0.055876,0.98942
1779294129278,53.2688,-1.26192,0.098156,-0.08784,0.0549,0.990884
1779294129378,53.2688,-1.26192,0.151864,-0.087596,0.053436,0.989908
1779294129478,53.2688,-1.26192,0.14816,-0.08662,0.055632,0.989908
1779294129578,53.2688,-1.26192,0.14816,-0.086864,0.056364,0.988688
1779294129678,53.2688,-1.26192,0.057412,-0.086864,0.056608,0.9882
1779294129778,53.2688,-1.26192,0.057412,-0.087596,0.05612,0.98942
1779294129878,53.2688,-1.26192,0.1389,-0.086864,0.055388,0.987712
1779294129978,53.2688,-1.26192,0.1389,-0.088084,0.055632,0.988932
1779294130078,53.2688,-1.26192,0.170384,-0.087596,0.0549,0.988444
1779294130178,53.2688,-1.26192,0.170384,-0.087352,0.056608,0.989176
1779294130278,53.2688,-1.26192,0.172236,-0.08662,0.055632,0.988932
1779294130378,53.2688,-1.26192,0.172236,-0.08784,0.05612,0.987956
1779294130478,53.2688,-1.26192,0.061116,-0.088328,0.056364,0.987712
1779294130578,53.2688,-1.26192,0.098156,-0.086864,0.055144,0.985028
1779294130678,53.2688,-1.26192,0.12964,-0.08784,0.055632,0.986004
1779294130779,53.2688,-1.26192,0.16668,-0.08784,0.056364,0.98576
1779294130879,53.2688,-1.26192,0.16668,-0.088572,0.054656,0.98332
1779294130979,53.2688,-1.26192,0.061116,-0.088084,0.055632,0.983076
1779294131079,53.2688,-1.26192,0.061116,-0.088328,0.05734,0.984052
1779294131179,53.2688,-1.26192,0.177792,-0.088572,0.054656,0.980392
1779294131279,53.2688,-1.26192,0.177792,-0.088328,0.055876,0.98332
1779294131379,53.2688,-1.26192,0.150012,-0.086132,0.053924,0.982832
1779294131479,53.2688,-1.26192,0.088896,-0.088572,0.054656,0.982832
1779294131579,53.2688,-1.26192,0.151864,-0.088816,0.055876,0.985028
1779294131679,53.2688,-1.26192,0.151864,-0.08906,0.055388,0.984784
1779294131779,53.2688,-1.26192,0.187052,-0.08784,0.05612,0.98454
1779294131879,53.2688,-1.26192,0.187052,-0.088328,0.055388,0.985516
1779294131979,53.2688,-1.26192,0.107416,-0.087108,0.056608,0.986736
1779294132079,53.2688,-1.26192,0.107416,-0.088328,0.054412,0.988444
1779294132179,53.2688,-1.26192,0.072228,-0.08784,0.057096,0.987712
1779294132280,53.2688,-1.26192,0.072228,-0.087108,0.055144,0.986004
1779294132380,53.2688,-1.26192,0.05556,-0.08662,0.05612,0.988444
1779294132480,53.2688,-1.26192,0.05556,-0.088572,0.055144,0.987468
1779294132580,53.2688,-1.26192,0.144456,-0.086864,0.055632,0.987956
1779294132680,53.2688,-1.26192,0.144456,-0.087352,0.055144,0.98698
1779294132780,53.2688,-1.26192,0.36114,-0.088084,0.056608,0.987224
1779294132880,53.2688,-1.26192,0.112972,-0.088816,0.055144,0.986248
1779294132980,53.2688,-1.26192,0.251872,-0.087352,0.054656,0.987712
1779294133080,53.2688,-1.26192,0.251872,-0.088572,0.056852,0.990152
1779294133180,53.2688,-1.26192,0.079636,-0.088084,0.055144,0.98942
1779294133280,53.2688,-1.26192,0.1852,-0.087596,0.0549,0.988932
1779294133380,53.2688,-1.26192,0.122232,-0.08784,0.055144,0.990396
1779294133480,53.2688,-1.26192,0.122232,-0.087352,0.0549,0.989908
1779294133580,53.2688,-1.26192,0.161124,-0.08784,0.055388,0.990884
1779294133680,53.2688,-1.26192,0.161124,-0.088328,0.055144,0.989908
1779294133780,53.2688,-1.26192,0.140752,-0.087352,0.05612,0.990884
1779294133881,53.2688,-1.26192,0.140752,-0.087352,0.054412,0.98942
1779294133981,53.2688,-1.26192,0.0463,-0.086376,0.055388,0.989176
1779294134081,53.2688,-1.26192,0.0463,-0.088816,0.055632,0.989176
1779294134181,53.2688,-1.26192,0.114824,-0.087596,0.054656,0.988688
1779294134281,53.2688,-1.26192,0.114824,-0.086864,0.05612,0.987956
1779294134381,53.2688,-1.26192,0.05556,-0.08784,0.056364,0.986736
1779294134481,53.2688,-1.26192,0.116676,-0.088328,0.05612,0.987712
1779294134581,53.2688,-1.26192,0.116676,-0.086864,0.055632,0.98698
1779294134681,53.2688,-1.26192,0.25002,-0.088816,0.055632,0.986736
1779294134781,53.2688,-1.26192,0.25002,-0.088084,0.056852,0.985028
1779294134881,53.2688,-1.26192,0.205572,-0.088084,0.056364,0.986492
1779294134981,53.2688,-1.26192,0.205572,-0.088084,0.055632,0.98698
1779294135081,53.2688,-1.26192,0.08334,-0.08784,0.054656,0.987224
1779294135181,53.2688,-1.26192,0.08334,-0.088816,0.05734,0.99064
1779294135281,53.2688,-1.26192,0.487076,-0.086132,0.055144,0.987224
1779294135381,53.2688,-1.26192,0.487076,-0.086132,0.055632,0.987712
1779294135482,53.2688,-1.26192,0.177792,-0.087108,0.05612,0.986736
1779294135582,53.2688,-1.26192,0.177792,-0.08784,0.05612,0.98576
1779294135682,53.2688,-1.26192,0.051856,-0.086376,0.055144,0.985516
1779294135782,53.2688,-1.26192,0.088896,-0.088328,0.055144,0.986248
1779294135882,53.2688,-1.26192,0.088896,-0.087352,0.057096,0.986248
1779294135982,53.2688,-1.26192,0.151864,-0.087596,0.054412,0.98332
1779294136082,53.2688,-1.26192,0.151864,-0.08906,0.057096,0.98576
1779294136182,53.2688,-1.26192,0.100008,-0.087596,0.056852,0.984784
1779294136282,53.2688,-1.26192,0.100008,-0.087352,0.055632,0.984784
1779294136383,53.2688,-1.26192,0.146308,-0.089792,0.055876,0.98332
1779294136483,53.2688,-1.26192,0.146308,-0.086376,0.056608,0.983076
1779294136583,53.2688,-1.26192,0.135196,-0.086376,0.055144,0.982588
1779294136683,53.2688,-1.26192,0.135196,-0.088084,0.055632,0.986004
1779294136783,53.2688,-1.26192,0.335212,-0.088816,0.055876,0.987956
1779294136883,53.2688,-1.26192,0.335212,-0.088084,0.0549,0.984784
1779294136983,53.2688,-1.26192,0.146308,-0.088084,0.0549,0.986248
1779294137083,53.2688,-1.26192,0.146308,-0.088084,0.055144,0.986248
1779294137183,53.2688,-1.26192,0.116676,-0.087352,0.055144,0.986004
1779294137283,53.2688,-1.26192,0.170384,-0.087108,0.055144,0.987712
1779294137383,53.2688,-1.26192,0.170384,-0.088084,0.0549,0.987468
1779294137483,53.2688,-1.26192,0.170384,-0.088572,0.055388,0.986736
1779294137583,53.2688,-1.26192,0.085192,-0.088084,0.05368,0.98698
1779294137684,53.2688,-1.26192,0.127788,-0.087108,0.056608,0.989664
1779294137784,53.2688,-1.26192,0.100008,-0.087352,0.056608,0.986492
1779294137884,53.2688,-1.26192,0.19446,-0.088572,0.055388,0.987956
1779294137984,53.2688,-1.26192,0.201868,-0.08784,0.05612,0.986736
1779294138084,53.2688,-1.26192,0.201868,-0.08784,0.056608,0.9882
1779294138184,53.2688,-1.26192,0.346324,-0.088572,0.055876,0.986004
1779294138284,53.2688,-1.26192,0.12038,-0.087596,0.057096,0.98576
1779294138384,53.2688,-1.26192,0.107416,-0.088084,0.055388,0.986248
1779294138484,53.2688,-1.26192,0.107416,-0.087596,0.057584,0.986004
1779294138584,53.2688,-1.26192,0.114824,-0.087596,0.055144,0.986004
1779294138684,53.2688,-1.26192,0.114824,-0.087596,0.055632,0.98332
1779294138784,53.2688,-1.26192,0.103712,-0.086864,0.056852,0.982588
1779294138884,53.2688,-1.26192,0.075932,-0.08906,0.055876,0.987956
1779294138985,53.2688,-1.26192,0.075932,-0.087352,0.055388,0.98698
1779294139085,53.2688,-1.26192,0.094452,-0.087596,0.054168,0.987712
1779294139185,53.2688,-1.26192,0.0926,-0.08784,0.055632,0.988688
1779294139285,53.2688,-1.26192,0.0926,-0.088084,0.054656,0.987712
1779294139385,53.2688,-1.26192,0.12038,-0.088328,0.055632,0.9882
1779294139485,53.2688,-1.26192,0.12038,-0.086864,0.055632,0.989664
1779294139585,53.2688,-1.26192,0.103712,-0.087352,0.055388,0.99064
1779294139685,53.2688,-1.26192,0.103712,-0.08784,0.056608,0.990152
1779294139785,53.2688,-1.26192,0.107416,-0.087596,0.05612,0.988444
1779294139885,53.2688,-1.26192,0.107416,-0.088084,0.05612,0.990152
1779294139985,53.2688,-1.26192,0.042596,-0.08662,0.05612,0.991128
1779294140085,53.2688,-1.26192,0.042596,-0.08906,0.055632,0.987956
1779294140185,53.2688,-1.26192,0.094452,-0.08784,0.057096,0.988932
1779294140285,53.2688,-1.26192,0.133344,-0.088572,0.05612,0.9882
1779294140386,53.2688,-1.26192,0.0926,-0.087108,0.055144,0.987224
1779294140486,53.2688,-1.26192,0.033336,-0.087596,0.055632,0.9882
1779294140586,53.2688,-1.26192,0.033336,-0.086864,0.055388,0.987712
1779294140686,53.2688,-1.26192,0.087044,-0.086864,0.056852,0.988932
1779294140786,53.2688,-1.26192,0.025928,-0.08906,0.055388,0.988932
1779294140886,53.2688,-1.26192,0.061116,-0.08662,0.054656,0.988688
1779294140986,53.2688,-1.26192,0.061116,-0.088572,0.05612,0.9882
1779294141086,53.2688,-1.26192,0.153716,-0.088328,0.0549,0.988444
1779294141186,53.2688,-1.26192,0.02778,-0.086376,0.055388,0.988444
1779294141286,53.2688,-1.26192,0.096304,-0.087352,0.055876,0.989664
1779294141386,53.2688,-1.26192,0.096304,-0.088328,0.057096,0.989908
1779294141486,53.2688,-1.26192,0.164828,-0.08662,0.055632,0.989908
1779294141586,53.2688,-1.26192,0.075932,-0.087596,0.055388,0.988444
1779294141686,53.2688,-1.26192,0.124084,-0.086864,0.056364,0.99064
1779294141786,53.2688,-1.26192,0.124084,-0.087352,0.055144,0.989908
1779294141886,53.2688,-1.26192,0.179644,-0.087596,0.055388,0.98942
1779294141987,53.2688,-1.26192,0.066672,-0.086864,0.055144,0.989664
1779294142087,53.2688,-1.26192,0.0926,-0.088572,0.055388,0.989908
1779294142187,53.2688,-1.26192,0.10186,-0.088084,0.055876,0.991616
1779294142287,53.2688,-1.26192,0.057412,-0.088816,0.05612,0.988688
1779294142387,53.2688,-1.26192,0.146308,-0.087352,0.055632,0.988688
1779294142487,53.2688,-1.26192,0.146308,-0.088572,0.056608,0.988932
1779294142587,53.2688,-1.26192,0.116676,-0.087108,0.055388,0.989176
1779294142687,53.2688,-1.26192,0.124084,-0.088572,0.0549,0.988932
1779294142787,53.2688,-1.26192,0.19446,-0.087352,0.055876,0.988444
1779294142887,53.2688,-1.26192,0.096304,-0.089304,0.054656,0.987956
1779294142987,53.2688,-1.26192,0.038892,-0.087596,0.055632,0.989664
1779294143087,53.2688,-1.26192,0.151864,-0.088084,0.05612,0.988444
1779294143187,53.2688,-1.26192,0.114824,-0.087596,0.05612,0.9882
1779294143288,53.2688,-1.26192,0.107416,-0.08906,0.0549,0.988444
1779294143388,53.2688,-1.26192,0.107416,-0.086376,0.056852,0.988444
1779294143488,53.2688,-1.26192,0.200016,-0.087108,0.055388,0.98698
1779294143588,53.2688,-1.26192,0.200016,-0.088084,0.054656,0.98698
1779294143688,53.2688,-1.26192,0.133344,-0.086864,0.056364,0.987224
1779294143788,53.2688,-1.26192,0.133344,-0.088816,0.055388,0.987224
1779294143888,53.2688,-1.26192,0.107416,-0.087596,0.055388,0.987956
1779294143988,53.2688,-1.26192,0.081488,-0.089792,0.0549,0.988444
1779294144088,53.2688,-1.26192,0.031484,-0.08784,0.0549,0.987956
